file_name,genre,f_measure,algorithm_tempo,ground_truth_tempo,accuracy_1,accuracy_2
pop.00027.wav,pop,0.0,167.04545454545453,84.1,0,1
pop.00033.wav,pop,0.27272727272727276,100.22727272727273,98.95,1,1
pop.00032.wav,pop,0.9873417721518987,95.45454545454545,95.05,1,1
pop.00026.wav,pop,0.6521739130434783,150.3409090909091,76.97,0,0
pop.00030.wav,pop,0.0,95.45454545454545,94.92,1,1
pop.00024.wav,pop,0.9896907216494846,117.9144385026738,116.95,1,1
pop.00018.wav,pop,0.99009900990099,122.72727272727273,121.99,1,1
pop.00019.wav,pop,0.9736842105263158,92.51748251748252,93.03,1,1
pop.00025.wav,pop,0.6595744680851063,150.3409090909091,74.94,0,1
pop.00031.wav,pop,0.0,95.45454545454545,94.92,1,1
pop.00009.wav,pop,0.0,105.50239234449761,105.39,1,1
pop.00035.wav,pop,0.0,107.38636363636364,108.1,1,1
pop.00021.wav,pop,0.9761904761904763,101.92604006163329,101.85,1,1
pop.00020.wav,pop,0.9887640449438202,107.38636363636364,108.01,1,1
pop.00034.wav,pop,0.5599999999999999,95.45454545454545,95.99,1,1
pop.00008.wav,pop,0.6601941747572815,167.04545454545453,84.1,0,1
pop.00022.wav,pop,0.9647058823529412,103.68338557993731,104.04,1,1
pop.00036.wav,pop,0.0,98.58420268256334,97.82,1,1
pop.00037.wav,pop,0.9885057471264368,103.68338557993731,104.1,1,1
pop.00023.wav,pop,0.9382716049382717,103.68338557993731,102.96,1,1
pop.00044.wav,pop,1.0,117.9144385026738,118.9,1,1
pop.00050.wav,pop,0.6046511627906976,139.85200845665963,70.11,0,1
pop.00078.wav,pop,0.9195402298850575,105.50239234449761,104.81,1,1
pop.00087.wav,pop,0.0,101.92604006163329,101.9,1,1
pop.00093.wav,pop,0.0,133.63636363636363,134.0,1,1
pop.00092.wav,pop,0.967032967032967,109.33884297520662,109.04,1,1
pop.00086.wav,pop,0.9908256880733944,130.7312252964427,132.05,1,1
pop.00079.wav,pop,0.989247311827957,113.46483704974271,112.8,1,1
pop.00051.wav,pop,0.0,111.36363636363636,113.62,1,1
pop.00045.wav,pop,0.9428571428571428,88.43582887700535,87.94,1,1
pop.00053.wav,pop,0.3947368421052632,130.7312252964427,64.37,0,1
pop.00047.wav,pop,0.9777777777777777,109.33884297520662,110.65,1,1
pop.00090.wav,pop,0.0,101.92604006163329,102.04,1,1
pop.00084.wav,pop,0.0,100.22727272727273,99.99,1,1
pop.00085.wav,pop,0.8913043478260869,120.27272727272727,120.08,1,1
pop.00091.wav,pop,0.9894736842105264,115.64685314685315,114.9,1,1
pop.00046.wav,pop,0.9428571428571428,88.43582887700535,87.91,1,1
pop.00052.wav,pop,0.9767441860465117,103.68338557993731,103.41,1,1
